ensembl,Symbol,Gene type,Tissue,Cluster
ENSMFAG00000000264,APH1B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000283,PLCG1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000444,EPS15L1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000464,RCOR3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000583,EXOC7,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000608,CD99,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000627,MTFMT,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000639,GJC2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000737,MKRN1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000852,CYB5R1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000000886,HJURP,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001064,FCGR1A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001074,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001243,ZFP36L2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001330,OSBPL7,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001443,BGN,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001461,ZNHIT6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001509,IDO1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001561,ACLY,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001665,DNAJC5,protein_coding,Liver (LL),Cluster U
ENSMFAG00000001817,NCOR2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002012,EOMES,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002093,SEL1L3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002250,TIAM1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002269,CCL16,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002332,PML,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002420,CDC23,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002486,APEX2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002626,FAM174B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002714,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002847,TIE1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002915,PTGIR,protein_coding,Liver (LL),Cluster U
ENSMFAG00000002935,IGF2BP3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003061,SLC5A10,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003084,SEPTIN6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003235,AMN1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003394,SMG6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003401,BICDL1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003835,FBLN2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003863,TYRO3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000003897,NMBR,protein_coding,Liver (LL),Cluster U
ENSMFAG00000004002,TMEM52,protein_coding,Liver (LL),Cluster U
ENSMFAG00000004528,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000004590,PRKACA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000005287,DPYSL2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000007624,CAPNS1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000011493,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000016523,RARG,protein_coding,Liver (LL),Cluster U
ENSMFAG00000018031,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000019678,LIN37,protein_coding,Liver (LL),Cluster U
ENSMFAG00000023157,MYO9A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000024172,CDKN2C,protein_coding,Liver (LL),Cluster U
ENSMFAG00000027588,LRATD1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000028229,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000028608,SREBF1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000029259,ULK4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030025,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030079,CD300LG,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030350,TRNP1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030476,SKP2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030657,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030659,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030725,HSPG2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030750,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030778,ARFGEF1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000030782,CD163,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031210,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031346,STARD5,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031377,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031475,VSTM2L,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031521,CCL17,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031730,CCNK,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031801,SOS1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000031972,TMEM106A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000032441,SCN1B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000032578,IGFBP7,protein_coding,Liver (LL),Cluster U
ENSMFAG00000032804,MTARC2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000032942,UBE2R2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033140,TSBP1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033176,RFX7,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033205,RCN3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033293,PDE1B,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033344,BAX,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033356,PTPN6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033587,PKIB,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033638,CTSG,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033656,LLGL1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033693,CD6,protein_coding,Liver (LL),Cluster U
